ID Vigilante,Horario preferencia 6 a.m - 2 p.m,Horario preferencia 2 p.m - 10 p.m,Horario preferencia 10 p.m - 6 a.m,Sitio Esperado,D. Sitio 1,D. Sitio 2,D. Sitio 3,D. Sitio 4,D. Sitio 5,D. Sitio 6,D. Sitio 7,D. Sitio 8,D. Sitio 9,D. Sitio 10,D. Sitio 11,D. Sitio 12,D. Sitio 13,D. Sitio 14,D. Sitio 15,D. Sitio 16,D. Sitio 17,D. Sitio 18,D. Sitio 19,D. Sitio 20,D. Sitio 21,D. Sitio 22,D. Sitio 23,D. Sitio 24,D. Sitio 25,D. Sitio 26,D. Sitio 27,D. Sitio 28,D. Sitio 29,D. Sitio 30,D. Sitio 31,D. Sitio 32,D. Sitio 33,D. Sitio 34,D. Sitio 35,D. Sitio 36,D. Sitio 37,D. Sitio 38,D. Sitio 39,D. Sitio 40,D. Sitio 41,D. Sitio 42,D. Sitio 43,D. Sitio 44,D. Sitio 45,D. Sitio 46,D. Sitio 47,D. Sitio 48,D. Sitio 49,D. Sitio 50,D. Sitio 51,D. Sitio 52,D. Sitio 53,D. Sitio 54,D. Sitio 55,D. Sitio 56,D. Sitio 57,D. Sitio 58,D. Sitio 59,D. Sitio 60,D. Sitio 61,D. Sitio 62,D. Sitio 63,D. Sitio 64,D. Sitio 65,D. Sitio 66,D. Sitio 67,D. Sitio 68,D. Sitio 69,D. Sitio 70,D. Sitio 71,D. Sitio 72,D. Sitio 73,D. Sitio 74,D. Sitio 75,D. Sitio 76,D. Sitio 77,D. Sitio 78,D. Sitio 79,D. Sitio 80,D. Sitio 81,D. Sitio 82,D. Sitio 83,D. Sitio 84,D. Sitio 85,D. Sitio 86,D. Sitio 87,D. Sitio 88,D. Sitio 89,D. Sitio 90,D. Sitio 91,D. Sitio 92,D. Sitio 93,D. Sitio 94,D. Sitio 95,D. Sitio 96,D. Sitio 97,D. Sitio 98,D. Sitio 99,D. Sitio 100,D. Sitio 101,D. Sitio 102,D. Sitio 103,D. Sitio 104,D. Sitio 105,D. Sitio 106,D. Sitio 107,D. Sitio 108,D. Sitio 109,D. Sitio 110,D. Sitio 111,D. Sitio 112,D. Sitio 113,D. Sitio 114,D. Sitio 115,D. Sitio 116,D. Sitio 117,D. Sitio 118,D. Sitio 119,D. Sitio 120,D. Sitio 121,D. Sitio 122,D. Sitio 123,D. Sitio 124,D. Sitio 125
1,1,2,2,0,28,18,30,42,14,32,5,3,100,62,24,57,21,56,51,95,16,80,98,4,17,81,46,23,53,76,70,51,79,13,65,56,73,79,30,11,39,83,19,19,15,58,72,79,85,76,83,81,25,10,56,44,59,11,10,50,51,34,45,67,36,3,55,77,65,6,80,7,48,54,100,40,98,65,19,1,17,34,57,77,94,11,21,60,15,51,7,95,28,33,38,17,36,9,66,38,91,40,99,80,6,41,52,84,50,29,62,20,6,47,47,71,47,13,28,67,66,63,73,96,24,10,51,93,41
2,2,3,1,2,44,76,75,76,83,55,51,30,14,64,92,41,39,73,74,51,6,75,20,7,24,8,22,79,73,65,29,81,69,33,62,6,50,27,65,44,33,61,73,21,22,90,33,84,13,21,95,55,77,12,70,91,75,96,98,54,74,10,93,24,25,6,76,23,89,92,29,77,70,88,70,72,26,99,32,66,90,98,78,23,13,76,35,46,67,69,4,31,51,55,16,89,38,77,77,10,16,59,27,66,29,56,74,26,25,100,88,58,4,61,21,62,90,56,37,15,11,85,78,98,34,52,13,29,85
3,3,1,3,3,63,13,27,7,89,82,59,19,63,65,42,25,83,0,53,43,96,79,9,50,47,94,71,33,74,41,73,64,29,22,23,92,8,36,0,31,7,10,87,5,57,78,56,6,21,77,29,96,73,56,15,81,43,69,78,23,34,90,63,41,93,98,48,30,79,21,1,8,0,53,74,30,41,33,95,26,51,55,11,70,82,52,8,71,77,52,68,5,25,71,39,4,39,63,30,48,88,4,76,92,87,46,91,20,71,16,93,65,8,83,78,88,23,63,35,77,37,93,34,71,20,36,41,28,65
4,2,2,0,1,10,29,26,12,63,27,6,13,12,82,78,69,35,26,7,41,70,86,77,67,62,8,52,52,59,28,75,27,39,20,17,75,12,56,4,38,85,98,12,25,91,88,11,52,34,69,15,78,99,78,64,84,75,81,67,5,34,56,57,50,34,93,51,3,96,12,73,2,16,9,15,27,65,70,34,79,36,80,48,10,29,47,16,80,26,85,78,45,8,26,53,56,23,97,80,81,100,97,86,60,29,30,9,69,73,20,32,41,0,59,85,63,65,56,58,50,31,19,42,67,21,82,39,7,96
5,0,1,3,3,27,8,68,58,37,93,49,94,14,18,5,44,49,3,98,80,51,11,10,87,64,29,57,57,11,73,25,52,35,18,6,1,60,5,13,95,55,29,25,19,52,16,2,19,68,22,55,70,25,72,70,92,51,35,41,38,55,28,18,5,56,48,34,71,50,84,35,39,48,75,8,16,32,21,59,29,22,51,62,7,20,77,95,65,54,26,23,74,91,64,44,32,91,45,61,32,22,42,59,69,76,46,59,71,84,31,49,41,4,57,49,100,10,23,97,67,54,91,65,77,57,91,1,19,81
6,2,3,1,2,49,65,27,3,100,24,40,60,0,64,94,51,73,2,27,53,81,27,98,40,10,81,39,2,30,7,67,75,45,75,87,99,40,63,51,38,34,30,37,14,80,45,54,20,46,54,67,68,24,19,89,76,48,12,6,39,46,64,70,67,5,79,69,8,93,72,3,31,71,76,62,74,76,65,98,68,26,80,1,32,80,93,22,98,29,21,58,60,8,0,60,49,7,60,92,10,22,87,74,25,37,48,67,30,39,47,6,83,81,98,86,55,97,14,62,20,1,24,16,70,72,53,30,87,62
7,0,1,1,0,33,7,2,32,12,43,52,91,44,78,39,40,23,52,27,29,43,21,72,39,40,4,24,14,28,46,32,50,72,75,35,20,47,45,27,14,61,73,31,34,44,89,7,15,85,81,51,19,57,13,91,66,69,80,31,32,19,67,84,79,28,1,82,49,20,38,21,9,56,10,15,71,31,8,11,71,67,56,43,25,19,9,59,53,14,39,31,82,85,13,32,15,55,97,21,51,41,72,52,61,51,8,97,90,77,33,31,72,38,73,68,53,5,75,71,47,14,84,100,100,99,55,84,49,81
8,1,0,3,3,80,43,56,46,40,79,34,79,11,78,24,13,52,72,53,61,8,51,18,49,13,58,81,43,42,4,97,97,76,49,80,95,87,61,92,14,81,23,60,85,88,66,98,9,4,89,14,5,15,54,84,14,74,86,66,88,19,93,40,80,84,78,82,3,43,73,27,98,93,40,17,63,5,88,11,67,93,46,26,32,36,65,60,64,90,89,58,25,31,59,1,59,45,12,57,76,43,11,11,21,43,76,38,70,83,2,70,97,67,16,74,99,5,98,5,15,70,8,76,48,65,9,59,24,82
9,2,2,3,2,63,60,66,68,50,10,94,77,20,77,38,61,4,41,50,72,66,26,52,13,53,58,35,89,21,38,90,47,11,40,46,84,70,96,87,84,47,73,16,7,1,54,58,8,69,56,57,4,70,50,48,75,73,76,95,5,64,36,7,90,20,57,65,15,64,59,40,85,78,99,19,79,65,51,88,30,81,66,62,64,21,93,25,37,34,28,99,68,68,54,27,53,17,90,95,28,50,12,74,5,100,63,40,98,84,28,14,28,20,13,96,79,23,20,71,62,7,66,74,35,53,1,12,34,53
10,2,2,1,3,89,2,5,1,50,10,74,50,4,41,53,70,55,15,76,47,85,71,18,4,75,91,50,84,34,61,10,87,54,39,86,20,36,81,85,27,55,32,70,69,88,45,1,55,43,56,9,89,5,87,27,79,92,91,24,97,97,12,58,0,0,29,98,43,92,45,16,84,94,32,30,15,48,15,46,63,91,4,26,69,55,89,70,66,4,53,5,14,37,71,19,0,9,16,23,25,8,61,2,75,82,16,0,47,50,3,75,34,64,52,6,34,38,39,14,62,29,14,67,13,59,11,1,45,26
